State Name,Quarter,Report Type,State Median Year,Year,Fixed Overall Median Qtr,Fixed Overall Median Yr,Fixed State Median Qtr,Fixed State Median Yr,Overall Median Losses Qtr,Overall Median Losses Yr,State Median Quarterly
Nevada,3,Fraud,500,2019,400,394.99,500,500,400,394.99,500
Illinois,4,Fraud,450,2021,550,500,500,450,550,500,500
Nevada,2,Other,525,2020,431,487.89,487.67,525,431,487.89,487.67
Massachusetts,3,Fraud,335.75,2018,380,370,328.5,335.75,380,370,328.5
Vermont,2,Fraud,350,2019,422.08,394.99,350,350,422.08,394.99,350
Pennsylvania,3,Fraud,405,2021,500,500,400,405,500,500,400
Wyoming,2,Fraud,304,2020,325,304.99,285,304,325,304.99,285
New York,4,Other,366.91,2020,500,487.89,393.84,366.91,500,487.89,393.84
Ohio,3,Fraud,299,2019,400,394.99,300,299,400,394.99,300
Minnesota,4,Other,400,2020,500,487.89,450,400,500,487.89,450
Massachusetts,3,Other,500,2020,490,487.89,500,500,490,487.89,500
Arizona,3,Fraud,525,2021,500,500,500,525,500,500,500
South Carolina,1,Fraud,319.245,2018,404.565,370,388.65,319.245,404.565,370,388.65
Massachusetts,1,Fraud,335.75,2018,404.565,370,401,335.75,404.565,370,401
Ohio,1,Other,334.18,2018,500,460,272.01,334.18,500,460,272.01
New Hampshire,1,Fraud,450,2021,402.995,500,470.34,450,402.995,500,470.34
Utah,3,Other,700,2021,727,618.38,602,700,727,618.38,602
Rhode Island,4,Fraud,268.5,2019,335.88,394.99,200.495,268.5,335.88,394.99,200.495
Oregon,1,Fraud,589,2022,600,600,589,589,600,600,589
Connecticut,4,Fraud,279,2020,328,304.99,284.98,279,328,304.99,284.98
New Hampshire,3,Fraud,450,2021,500,500,400,450,500,500,400
Ohio,4,Fraud,299,2019,335.88,394.99,248.31,299,335.88,394.99,248.31
Michigan,1,Other,450,2021,535,618.38,400,450,535,618.38,400
New York,2,Other,530.66,2021,700,618.38,600,530.66,700,618.38,600
Connecticut,4,Fraud,279,2020,328,304.99,284.98,279,328,304.99,284.98
Louisiana,3,Other,425.59,2019,500,476.66,540,425.59,500,476.66,540
West Virginia,2,Other,235.23,2020,431,487.89,300,235.23,431,487.89,300
New Mexico,2,Fraud,500,2019,422.08,394.99,659,500,422.08,394.99,659
District of Columbia,3,Fraud,500,2021,500,500,499.995,500,500,500,499.995
District of Columbia,4,Other,542.855,2021,700,618.38,488,542.855,700,618.38,488
Wisconsin,2,Fraud,299,2018,396,370,300,299,396,370,300
Puerto Rico,2,Fraud,350,2019,422.08,394.99,369.75,350,422.08,394.99,369.75
Alaska,1,Fraud,491,2018,404.565,370,493.5,491,404.565,370,493.5
Utah,2,Other,500,2020,431,487.89,500,500,431,487.89,500
Wyoming,3,Other,610.25,2018,460.27,460,408.095,610.25,460.27,460,408.095
Pennsylvania,2,Fraud,300,2018,396,370,310.5,300,396,370,310.5
Colorado,4,Other,593.74,2021,700,618.38,500,593.74,700,618.38,500
Michigan,3,Other,306.99,2018,460.27,460,325,306.99,460.27,460,325
Nevada,1,Other,680,2021,535,618.38,587,680,535,618.38,587
Wyoming,4,Fraud,304,2020,328,304.99,300,304,328,304.99,300
Texas,4,Other,500,2018,400.08,460,477.28,500,400.08,460,477.28
Delaware,4,Fraud,399,2020,328,304.99,404.9,399,328,304.99,404.9
West Virginia,2,Fraud,300,2018,396,370,304.735,300,396,370,304.735
California,1,Fraud,831.71,2022,600,600,831.71,831.71,600,600,831.71
North Dakota,4,Fraud,456,2021,550,500,550,456,550,500,550
Rhode Island,2,Fraud,350,2018,396,370,393.25,350,396,370,393.25
Georgia,2,Other,711,2021,700,618.38,950,711,700,618.38,950
Utah,1,Fraud,320.84,2020,330.64,304.99,439.99,320.84,330.64,304.99,439.99
Indiana,1,Other,404.13,2018,500,460,460,404.13,500,460,460
Arkansas,1,Other,386.215,2020,495,487.89,300,386.215,495,487.89,300
Illinois,2,Fraud,300,2018,396,370,299.99,300,396,370,299.99
Arizona,3,Fraud,399,2018,380,370,400,399,380,370,400
Indiana,3,Fraud,349.99,2018,380,370,399,349.99,380,370,399
Nevada,2,Other,525,2020,431,487.89,487.67,525,431,487.89,487.67
District of Columbia,4,Fraud,500,2021,550,500,600,500,550,500,600
Louisiana,3,Fraud,300,2020,279,304.99,279,300,279,304.99,279
Wisconsin,3,Other,292,2019,500,476.66,280,292,500,476.66,280
Rhode Island,4,Fraud,350,2018,306.25,370,205,350,306.25,370,205
Massachusetts,3,Other,300,2021,727,618.38,100,300,727,618.38,100
North Dakota,3,Fraud,358.65,2020,279,304.99,307.245,358.65,279,304.99,307.245
Tennessee,1,Fraud,318.5,2018,404.565,370,383.32,318.5,404.565,370,383.32
Mississippi,2,Other,500,2020,431,487.89,553,500,431,487.89,553
Delaware,4,Fraud,500,2021,550,500,500,500,550,500,500
Puerto Rico,2,Fraud,358,2018,396,370,395.95,358,396,370,395.95
South Dakota,2,Other,400,2020,431,487.89,400,400,431,487.89,400
Utah,3,Fraud,400,2019,400,394.99,384,400,400,394.99,384
Kentucky,2,Other,310,2018,499,460,401.21,310,499,460,401.21
Missouri,2,Other,500,2021,700,618.38,600,500,700,618.38,600
Arkansas,1,Fraud,286,2020,330.64,304.99,296.075,286,330.64,304.99,296.075
Arkansas,4,Other,350,2019,492,476.66,396,350,492,476.66,396
North Carolina,3,Fraud,350,2019,400,394.99,400,350,400,394.99,400
Tennessee,4,Fraud,313.5,2019,335.88,394.99,275,313.5,335.88,394.99,275
North Carolina,3,Other,350,2020,490,487.89,321,350,490,487.89,321
Illinois,4,Other,500,2020,500,487.89,450,500,500,487.89,450
Colorado,3,Other,544.425,2020,490,487.89,499.155,544.425,490,487.89,499.155
Tennessee,3,Other,388,2019,500,476.66,399.89,388,500,476.66,399.89
New Mexico,3,Fraud,408.62,2020,279,304.99,300,408.62,279,304.99,300
Arkansas,2,Fraud,286,2020,325,304.99,300,286,325,304.99,300
Alaska,4,Fraud,500,2020,328,304.99,404,500,328,304.99,404
Maine,3,Other,400,2018,460.27,460,253.475,400,460.27,460,253.475
Oklahoma,2,Fraud,410,2021,507,500,450,410,507,500,450
Oklahoma,4,Identity Theft,0,2018,0,0,0,0,0,0,0
Michigan,1,Other,450,2021,535,618.38,400,450,535,618.38,400
Wyoming,2,Fraud,400,2019,422.08,394.99,400,400,422.08,394.99,400
Minnesota,2,Fraud,380,2019,422.08,394.99,500,380,422.08,394.99,500
Wyoming,1,Other,391,2022,727.875,727.875,391,391,727.875,727.875,391
Maryland,1,Fraud,340,2018,404.565,370,360.5,340,404.565,370,360.5
Alabama,1,Other,410,2020,495,487.89,413.945,410,495,487.89,413.945
Oregon,1,Fraud,500,2021,402.995,500,327.89,500,402.995,500,327.89
Wyoming,2,Fraud,304,2020,325,304.99,285,304,325,304.99,285
Mississippi,3,Fraud,326,2018,380,370,363,326,380,370,363
South Dakota,1,Fraud,400,2022,600,600,400,400,600,600,400
Maryland,4,Other,598,2021,700,618.38,654,598,700,618.38,654
Wyoming,3,Other,410,2019,500,476.66,376.33,410,500,476.66,376.33
Missouri,1,Other,390.9,2019,410.21,476.66,412.34,390.9,410.21,476.66,412.34
Puerto Rico,1,Other,492.5,2021,535,618.38,300,492.5,535,618.38,300
District of Columbia,3,Fraud,387.765,2020,279,304.99,330.88,387.765,279,304.99,330.88
California,3,Fraud,400,2020,279,304.99,350,400,279,304.99,350
Illinois,2,Other,650.31,2021,700,618.38,705.34,650.31,700,618.38,705.34
Michigan,1,Fraud,400,2021,402.995,500,300,400,402.995,500,300
New Mexico,1,Fraud,715.96,2022,600,600,715.96,715.96,600,600,715.96
Washington,1,Fraud,500,2021,402.995,500,400,500,402.995,500,400
Iowa,4,Fraud,250,2020,328,304.99,249.745,250,328,304.99,249.745
Missouri,4,Other,400,2020,500,487.89,391.06,400,500,487.89,391.06
Nevada,2,Fraud,630.94,2021,507,500,600,630.94,507,500,600
Oklahoma,4,Fraud,361.975,2019,335.88,394.99,330,361.975,335.88,394.99,330
Ohio,4,Other,334.18,2018,400.08,460,290.25,334.18,400.08,460,290.25
Oklahoma,1,Fraud,259.49,2020,330.64,304.99,250,259.49,330.64,304.99,250
Rhode Island,1,Fraud,224.5,2020,330.64,304.99,300,224.5,330.64,304.99,300
Maine,1,Other,400,2018,500,460,348.5,400,500,460,348.5
Virginia,1,Identity Theft,0,2019,0,0,0,0,0,0,0
Maryland,2,Other,524,2019,499,476.66,553.94,524,499,476.66,553.94
Kentucky,1,Other,310,2018,500,460,376,310,500,460,376
New Jersey,1,Fraud,700,2022,600,600,700,700,600,600,700
Ohio,4,Fraud,300,2018,306.25,370,240,300,306.25,370,240
Florida,3,Fraud,395,2018,380,370,368,395,380,370,368
Minnesota,3,Fraud,359,2018,380,370,400,359,380,370,400
Wisconsin,3,Fraud,395.28,2021,500,500,399.975,395.28,500,500,399.975
California,1,Other,494.16,2019,410.21,476.66,400,494.16,410.21,476.66,400
Utah,2,Fraud,500,2021,507,500,564.375,500,507,500,564.375
Ohio,1,Fraud,300,2018,404.565,370,330.99,300,404.565,370,330.99
Kansas,1,Fraud,329.485,2019,375,394.99,300,329.485,375,394.99,300
Texas,3,Other,500,2018,460.27,460,500,500,460.27,460,500
Massachusetts,4,Other,300,2021,700,618.38,485,300,700,618.38,485
Oregon,4,Fraud,299.265,2020,328,304.99,308.45,299.265,328,304.99,308.45
Texas,4,Other,652.315,2021,700,618.38,700,652.315,700,618.38,700
Rhode Island,2,Other,721.965,2021,700,618.38,1081,721.965,700,618.38,1081
Montana,3,Other,425,2018,460.27,460,400,425,460.27,460,400
Florida,3,Fraud,414.96,2019,400,394.99,430,414.96,400,394.99,430
North Carolina,4,Fraud,449.53,2021,550,500,480,449.53,550,500,480
Colorado,2,Other,500,2019,499,476.66,500,500,499,476.66,500
Idaho,2,Fraud,400,2018,396,370,403.12,400,396,370,403.12
Florida,4,Other,458.145,2019,492,476.66,495,458.145,492,476.66,495
Montana,3,Other,425,2018,460.27,460,400,425,460.27,460,400
Georgia,4,Other,458,2018,400.08,460,453.025,458,400.08,460,453.025
Maine,4,Fraud,216.935,2020,328,304.99,299,216.935,328,304.99,299
New York,3,Other,400,2019,500,476.66,400,400,500,476.66,400
California,4,Other,465.94,2018,400.08,460,400,465.94,400.08,460,400
Indiana,3,Fraud,235,2020,279,304.99,201.95,235,279,304.99,201.95
Utah,1,Other,509,2019,410.21,476.66,599,509,410.21,476.66,599
Louisiana,3,Fraud,300,2020,279,304.99,279,300,279,304.99,279
North Dakota,1,Fraud,456,2021,402.995,500,323.25,456,402.995,500,323.25
Tennessee,4,Fraud,313.5,2019,335.88,394.99,275,313.5,335.88,394.99,275
South Dakota,1,Fraud,240,2020,330.64,304.99,202.975,240,330.64,304.99,202.975
Washington,3,Fraud,390,2019,400,394.99,445,390,400,394.99,445
Oregon,4,Other,380,2018,400.08,460,340,380,400.08,460,340
Idaho,1,Fraud,282.99,2020,330.64,304.99,300,282.99,330.64,304.99,300
Utah,2,Fraud,400,2019,422.08,394.99,499,400,422.08,394.99,499
New York,3,Other,400,2019,500,476.66,400,400,500,476.66,400
Wyoming,1,Fraud,500,2021,402.995,500,450,500,402.995,500,450
Nevada,2,Other,680,2021,700,618.38,700,680,700,618.38,700
North Carolina,3,Fraud,276.955,2020,279,304.99,250.5,276.955,279,304.99,250.5
Pennsylvania,4,Other,475,2020,500,487.89,550,475,500,487.89,550
Mississippi,4,Fraud,326,2018,306.25,370,265,326,306.25,370,265
Minnesota,1,Fraud,300,2020,330.64,304.99,295.36,300,330.64,304.99,295.36
South Carolina,1,Other,473.085,2020,495,487.89,490,473.085,495,487.89,490
Georgia,3,Fraud,317.5,2018,380,370,384,317.5,380,370,384
New Mexico,4,Fraud,500,2019,335.88,394.99,308,500,335.88,394.99,308
Tennessee,4,Identity Theft,0,2021,0,0,0,0,0,0,0
Oklahoma,3,Fraud,259.49,2020,279,304.99,209.995,259.49,279,304.99,209.995
Massachusetts,3,Other,500,2020,490,487.89,500,500,490,487.89,500
West Virginia,1,Fraud,500,2022,600,600,500,500,600,600,500
Wyoming,3,Fraud,500,2021,500,500,400,500,500,500,400
Idaho,1,Other,433,2020,495,487.89,400,433,495,487.89,400
Missouri,1,Fraud,300,2018,404.565,370,353.42,300,404.565,370,353.42
Minnesota,1,Fraud,300,2020,330.64,304.99,295.36,300,330.64,304.99,295.36
Missouri,2,Identity Theft,0,2019,0,0,0,0,0,0,0
South Dakota,1,Other,400,2020,495,487.89,380,400,495,487.89,380
Mississippi,4,Fraud,326,2018,306.25,370,265,326,306.25,370,265
Wisconsin,3,Fraud,244.79,2020,279,304.99,219.99,244.79,279,304.99,219.99
Washington,2,Fraud,500,2021,507,500,508,500,507,500,508
District of Columbia,1,Fraud,500,2021,402.995,500,450,500,402.995,500,450
Ohio,3,Fraud,220,2020,279,304.99,200,220,279,304.99,200
Nebraska,4,Other,500,2021,700,618.38,1000,500,700,618.38,1000
Colorado,1,Fraud,486.13,2021,402.995,500,400,486.13,402.995,500,400
Mississippi,4,Fraud,315.25,2019,335.88,394.99,250,315.25,335.88,394.99,250
Georgia,2,Other,453.85,2019,499,476.66,424.83,453.85,499,476.66,424.83
West Virginia,3,Fraud,300,2018,380,370,250,300,380,370,250
Kansas,3,Fraud,350,2018,380,370,399,350,380,370,399
Iowa,2,Other,300,2019,499,476.66,351.49,300,499,476.66,351.49
Maine,3,Fraud,335.505,2018,380,370,276.925,335.505,380,370,276.925
Ohio,1,Other,517.31,2022,727.875,727.875,517.31,517.31,727.875,727.875,517.31
Maine,3,Fraud,400,2021,500,500,500,400,500,500,500
New Jersey,2,Fraud,510,2021,507,500,550,510,507,500,550
South Dakota,1,Fraud,497,2021,402.995,500,400,497,402.995,500,400
New York,2,Fraud,300,2020,325,304.99,317.29,300,325,304.99,317.29
Michigan,4,Fraud,300,2019,335.88,394.99,246,300,335.88,394.99,246
Colorado,2,Fraud,486.13,2021,507,500,500,486.13,507,500,500
West Virginia,3,Other,330.68,2018,460.27,460,409,330.68,460.27,460,409
Virginia,1,Other,500,2022,727.875,727.875,500,500,727.875,727.875,500
Virginia,2,Fraud,324.47,2020,325,304.99,359.32,324.47,325,304.99,359.32
Nevada,1,Fraud,428.5,2018,404.565,370,426.5,428.5,404.565,370,426.5
Kansas,2,Other,500,2021,700,618.38,396.85,500,700,618.38,396.85
Puerto Rico,2,Other,550,2020,431,487.89,454.5,550,431,487.89,454.5
West Virginia,3,Fraud,347.78,2019,400,394.99,254.4,347.78,400,394.99,254.4
Kentucky,3,Fraud,352.81,2021,500,500,335,352.81,500,500,335
Nevada,1,Fraud,428.5,2018,404.565,370,426.5,428.5,404.565,370,426.5
Florida,2,Other,458.145,2019,499,476.66,458.07,458.145,499,476.66,458.07
Louisiana,1,Fraud,300,2020,330.64,304.99,290.74,300,330.64,304.99,290.74
Delaware,3,Fraud,399,2020,279,304.99,343.76,399,279,304.99,343.76
Mississippi,4,Fraud,400,2021,550,500,400,400,550,500,400
Louisiana,3,Other,650,2021,727,618.38,675,650,727,618.38,675
California,3,Other,465.94,2018,460.27,460,471.55,465.94,460.27,460,471.55
Nebraska,1,Other,596,2022,727.875,727.875,596,596,727.875,727.875,596
North Dakota,1,Fraud,411,2019,375,394.99,365.5,411,375,394.99,365.5
North Dakota,2,Fraud,358.65,2020,325,304.99,399.995,358.65,325,304.99,399.995
Florida,4,Other,499,2020,500,487.89,500,499,500,487.89,500
West Virginia,4,Fraud,350,2021,550,500,400,350,550,500,400
Kansas,4,Other,400,2020,500,487.89,519.75,400,500,487.89,519.75
Florida,3,Other,499,2020,490,487.89,483.38,499,490,487.89,483.38
Missouri,2,Fraud,369,2021,507,500,400,369,507,500,400
Arizona,1,Fraud,525,2021,402.995,500,495,525,402.995,500,495
Texas,4,Fraud,380,2018,306.25,370,305,380,306.25,370,305
Tennessee,2,Fraud,318.5,2018,396,370,317.5,318.5,396,370,317.5
Louisiana,2,Other,450,2020,431,487.89,400,450,431,487.89,400
Delaware,4,Fraud,369,2019,335.88,394.99,405,369,335.88,394.99,405
Maryland,2,Other,524,2019,499,476.66,553.94,524,499,476.66,553.94
New Mexico,2,Other,535.98,2018,499,460,550,535.98,499,460,550
Kansas,3,Fraud,350,2018,380,370,399,350,380,370,399
Montana,2,Fraud,295.89,2020,325,304.99,350,295.89,325,304.99,350
North Dakota,1,Other,1100,2022,727.875,727.875,1100,1100,727.875,727.875,1100
Missouri,3,Fraud,300,2018,380,370,300,300,380,370,300
New Jersey,4,Other,500,2018,400.08,460,469,500,400.08,460,469
Kansas,3,Fraud,350,2018,380,370,399,350,380,370,399
Tennessee,2,Other,500,2020,431,487.89,450,500,431,487.89,450
Texas,2,Other,500,2019,499,476.66,549,500,499,476.66,549
Indiana,3,Other,400,2019,500,476.66,435,400,500,476.66,435
Iowa,4,Fraud,250,2020,328,304.99,249.745,250,328,304.99,249.745
Alabama,3,Other,410,2020,490,487.89,450.235,410,490,487.89,450.235
Idaho,1,Other,545,2021,535,618.38,587.07,545,535,618.38,587.07
Wisconsin,3,Other,344.01,2020,490,487.89,400,344.01,490,487.89,400
South Carolina,3,Fraud,319.245,2018,380,370,300,319.245,380,370,300
Connecticut,3,Fraud,299.99,2019,400,394.99,350.43,299.99,400,394.99,350.43
Alaska,3,Fraud,611,2021,500,500,718.68,611,500,500,718.68
Maryland,2,Fraud,340,2018,396,370,362.5,340,396,370,362.5
Louisiana,1,Other,450,2020,495,487.89,395,450,495,487.89,395
Oregon,2,Other,390,2020,431,487.89,350,390,431,487.89,350
District of Columbia,4,Other,500,2019,492,476.66,509.67,500,492,476.66,509.67
New Hampshire,2,Fraud,450,2021,507,500,415,450,507,500,415
Montana,2,Other,425,2018,499,460,396,425,499,460,396
Missouri,3,Fraud,229,2020,279,304.99,225,229,279,304.99,225
Florida,1,Other,800,2021,535,618.38,600,800,535,618.38,600
District of Columbia,1,Other,350,2018,500,460,813.5,350,500,460,813.5
Florida,4,Fraud,395,2018,306.25,370,339.405,395,306.25,370,339.405
Wisconsin,2,Other,499,2021,700,618.38,410.295,499,700,618.38,410.295
Arkansas,1,Other,500,2021,535,618.38,462.5,500,535,618.38,462.5
Arkansas,3,Fraud,360,2018,380,370,412,360,380,370,412
Minnesota,1,Other,379.305,2019,410.21,476.66,327.23,379.305,410.21,476.66,327.23
Delaware,3,Fraud,299.99,2018,380,370,312.49,299.99,380,370,312.49
Oklahoma,3,Other,465,2020,490,487.89,448.31,465,490,487.89,448.31
Wyoming,2,Fraud,400,2019,422.08,394.99,400,400,422.08,394.99,400
Hawaii,2,Other,502.32,2019,499,476.66,339.87,502.32,499,476.66,339.87
Colorado,3,Fraud,400,2019,400,394.99,500,400,400,394.99,500
Ohio,4,Fraud,375,2021,550,500,360,375,550,500,360
Alaska,1,Other,600,2018,500,460,1000,600,500,460,1000
Arizona,1,Fraud,399,2018,404.565,370,409.745,399,404.565,370,409.745
Hawaii,1,Fraud,356.02,2020,330.64,304.99,537.84,356.02,330.64,304.99,537.84
Illinois,1,Fraud,500,2022,600,600,500,500,600,600,500
Oklahoma,2,Fraud,361.975,2019,422.08,394.99,427.39,361.975,422.08,394.99,427.39
Alabama,3,Other,350,2019,500,476.66,400,350,500,476.66,400
New Jersey,1,Other,782.5,2022,727.875,727.875,782.5,782.5,727.875,727.875,782.5
Oklahoma,1,Other,450,2018,500,460,434.5,450,500,460,434.5
Kentucky,1,Other,321.5,2020,495,487.89,316.44,321.5,495,487.89,316.44
Tennessee,4,Fraud,313.5,2019,335.88,394.99,275,313.5,335.88,394.99,275
California,4,Other,619.38,2021,700,618.38,700,619.38,700,618.38,700
Rhode Island,3,Other,580.23,2019,500,476.66,651,580.23,500,476.66,651
Connecticut,4,Fraud,459.73,2021,550,500,526.245,459.73,550,500,526.245
Mississippi,4,Other,700,2021,700,618.38,775,700,700,618.38,775
West Virginia,2,Fraud,202.22,2020,325,304.99,249.99,202.22,325,304.99,249.99
Arkansas,1,Other,500,2021,535,618.38,462.5,500,535,618.38,462.5
Nevada,2,Other,500,2019,499,476.66,498.495,500,499,476.66,498.495
California,2,Fraud,610,2021,507,500,649,610,507,500,649
Alaska,2,Other,600,2018,499,460,450,600,499,460,450
Vermont,4,Other,500,2019,492,476.66,448.495,500,492,476.66,448.495
Utah,1,Other,500,2020,495,487.89,459,500,495,487.89,459
Oklahoma,3,Fraud,361.975,2019,400,394.99,400,361.975,400,394.99,400
California,1,Other,700,2022,727.875,727.875,700,700,727.875,727.875,700
Connecticut,4,Fraud,279,2020,328,304.99,284.98,279,328,304.99,284.98
West Virginia,4,Other,235.23,2020,500,487.89,222.5,235.23,500,487.89,222.5
Oregon,1,Fraud,345.4,2018,404.565,370,450,345.4,404.565,370,450
South Carolina,1,Other,374,2018,500,460,450,374,500,460,450
New Jersey,1,Fraud,700,2022,600,600,700,700,600,600,700
Hawaii,4,Fraud,500,2019,335.88,394.99,490,500,335.88,394.99,490
Maine,3,Fraud,335.505,2018,380,370,276.925,335.505,380,370,276.925
Arkansas,2,Fraud,360,2018,396,370,307.99,360,396,370,307.99
Kentucky,2,Fraud,352.81,2021,507,500,400,352.81,507,500,400
Kansas,3,Fraud,249,2020,279,304.99,199.99,249,279,304.99,199.99
Alaska,3,Other,471.71,2020,490,487.89,479.46,471.71,490,487.89,479.46
Arkansas,4,Fraud,300,2019,335.88,394.99,286.58,300,335.88,394.99,286.58
West Virginia,4,Other,500,2021,700,618.38,630,500,700,618.38,630
Puerto Rico,1,Other,492.5,2021,535,618.38,300,492.5,535,618.38,300
Wisconsin,4,Fraud,299,2018,306.25,370,250,299,306.25,370,250
Arizona,2,Other,463,2019,499,476.66,493.5,463,499,476.66,493.5
Maine,3,Fraud,216.935,2020,279,304.99,179.925,216.935,279,304.99,179.925
Wyoming,1,Fraud,400,2019,375,394.99,500,400,375,394.99,500
South Carolina,4,Other,374,2018,400.08,460,309.16,374,400.08,460,309.16
Rhode Island,2,Fraud,224.5,2020,325,304.99,196.515,224.5,325,304.99,196.515
West Virginia,1,Fraud,300,2018,404.565,370,490,300,404.565,370,490
Wyoming,1,Other,410,2019,410.21,476.66,500,410,410.21,476.66,500
Oklahoma,4,Fraud,259.49,2020,328,304.99,307,259.49,328,304.99,307
Arkansas,4,Other,411,2018,400.08,460,327,411,400.08,460,327
Nebraska,4,Fraud,358,2019,335.88,394.99,300,358,335.88,394.99,300
Maryland,4,Other,524,2019,492,476.66,526.45,524,492,476.66,526.45
Oklahoma,2,Other,504.26,2021,700,618.38,1000,504.26,700,618.38,1000
Georgia,3,Other,500,2020,490,487.89,500,500,490,487.89,500
Maryland,2,Fraud,525,2021,507,500,571,525,507,500,571
Kentucky,1,Fraud,300,2018,404.565,370,356.75,300,404.565,370,356.75
Wyoming,2,Fraud,400,2019,422.08,394.99,400,400,422.08,394.99,400
Ohio,3,Other,334.18,2018,460.27,460,400,334.18,460.27,460,400
South Carolina,3,Other,600,2021,727,618.38,982.93,600,727,618.38,982.93
Oregon,2,Identity Theft,0,2019,0,0,0,0,0,0,0
Delaware,1,Other,534.96,2020,495,487.89,433.5,534.96,495,487.89,433.5
Indiana,1,Fraud,480,2022,600,600,480,480,600,600,480
Oregon,2,Fraud,347.915,2019,422.08,394.99,400,347.915,422.08,394.99,400
North Dakota,4,Other,322.9,2019,492,476.66,342.95,322.9,492,476.66,342.95
North Carolina,1,Fraud,311.5,2018,404.565,370,366.5,311.5,404.565,370,366.5
Arizona,2,Fraud,440,2019,422.08,394.99,479,440,422.08,394.99,479
Pennsylvania,4,Other,443.64,2019,492,476.66,450,443.64,492,476.66,450
Indiana,2,Other,404.13,2018,499,460,383.94,404.13,499,460,383.94
Oregon,4,Fraud,500,2021,550,500,600,500,550,500,600
Washington,2,Other,500,2020,431,487.89,491.635,500,431,487.89,491.635
Louisiana,1,Other,650,2021,535,618.38,600,650,535,618.38,600
Utah,3,Other,500,2020,490,487.89,630,500,490,487.89,630
Georgia,4,Fraud,334.49,2019,335.88,394.99,297.69,334.49,335.88,394.99,297.69
Tennessee,2,Other,360,2018,499,460,349,360,499,460,349
West Virginia,2,Other,500,2021,700,618.38,500,500,700,618.38,500
Wyoming,4,Other,537.145,2021,700,618.38,496.31,537.145,700,618.38,496.31
Nevada,3,Fraud,400,2020,279,304.99,300,400,279,304.99,300
Nevada,1,Fraud,630.94,2021,402.995,500,518.07,630.94,402.995,500,518.07
District of Columbia,3,Fraud,378.5,2018,380,370,399.495,378.5,380,370,399.495
Nebraska,4,Fraud,341.08,2018,306.25,370,281.5,341.08,306.25,370,281.5
Nebraska,3,Other,500,2021,727,618.38,656,500,727,618.38,656
Louisiana,3,Fraud,300,2020,279,304.99,279,300,279,304.99,279
Puerto Rico,4,Other,492.5,2021,700,618.38,1051,492.5,700,618.38,1051
Nevada,4,Other,680,2021,700,618.38,582.295,680,700,618.38,582.295
Washington,2,Fraud,500,2021,507,500,508,500,507,500,508
New Hampshire,4,Fraud,230.55,2020,328,304.99,250,230.55,328,304.99,250
Tennessee,4,Other,500,2020,500,487.89,500.695,500,500,487.89,500.695
Puerto Rico,3,Fraud,505.5,2021,500,500,594.5,505.5,500,500,594.5
Oklahoma,1,Fraud,410,2021,402.995,500,400,410,402.995,500,400
Utah,1,Fraud,375,2018,404.565,370,366.25,375,404.565,370,366.25
Maryland,3,Fraud,340,2018,380,370,353.405,340,380,370,353.405
Oregon,3,Fraud,345.4,2018,380,370,314.125,345.4,380,370,314.125
Texas,2,Other,500,2020,431,487.89,500,500,431,487.89,500
Indiana,1,Other,400,2019,410.21,476.66,397,400,410.21,476.66,397
Connecticut,2,Fraud,279,2020,325,304.99,279.1,279,325,304.99,279.1
Puerto Rico,3,Fraud,368,2020,279,304.99,341.72,368,279,304.99,341.72
Minnesota,1,Fraud,300,2020,330.64,304.99,295.36,300,330.64,304.99,295.36
Massachusetts,3,Other,500,2020,490,487.89,500,500,490,487.89,500
Utah,3,Other,700,2021,727,618.38,602,700,727,618.38,602
Wyoming,3,Fraud,500,2021,500,500,400,500,500,500,400
Hawaii,2,Other,700,2021,700,618.38,975,700,700,618.38,975
Tennessee,1,Fraud,400,2021,402.995,500,356.84,400,402.995,500,356.84
Ohio,3,Other,400,2020,490,487.89,400,400,490,487.89,400
Oregon,2,Fraud,345.4,2018,396,370,377.3,345.4,396,370,377.3
Iowa,2,Identity Theft,0,2019,0,0,0,0,0,0,0
Virginia,1,Fraud,399.985,2019,375,394.99,349.9,399.985,375,394.99,349.9
North Carolina,3,Other,350,2020,490,487.89,321,350,490,487.89,321
District of Columbia,1,Fraud,378.5,2018,404.565,370,400,378.5,404.565,370,400
West Virginia,4,Fraud,300,2018,306.25,370,211.5,300,306.25,370,211.5
Kansas,4,Fraud,350,2018,306.25,370,265,350,306.25,370,265
District of Columbia,3,Fraud,370.5,2019,400,394.99,358.99,370.5,400,394.99,358.99
West Virginia,1,Fraud,500,2022,600,600,500,500,600,600,500
Nevada,2,Fraud,630.94,2021,507,500,600,630.94,507,500,600
Kansas,4,Other,500,2021,700,618.38,500,500,700,618.38,500
Texas,4,Fraud,408,2019,335.88,394.99,387,408,335.88,394.99,387
New Jersey,3,Other,600,2021,727,618.38,650,600,727,618.38,650
New York,1,Fraud,300,2020,330.64,304.99,325,300,330.64,304.99,325
South Carolina,3,Fraud,400,2021,500,500,400,400,500,500,400
Arizona,1,Other,600,2021,535,618.38,538,600,535,618.38,538
West Virginia,4,Fraud,202.22,2020,328,304.99,220.215,202.22,328,304.99,220.215
Idaho,3,Fraud,400,2019,400,394.99,484,400,400,394.99,484
District of Columbia,3,Fraud,387.765,2020,279,304.99,330.88,387.765,279,304.99,330.88
Rhode Island,3,Other,721.965,2021,727,618.38,589,721.965,727,618.38,589
